Date,Precipitation
1900-01-01,1.2
1900-01-02,0
1900-01-03,0
1900-01-04,0.3
1900-01-05,0.5
1900-01-06,0
1900-01-07,0.4
1900-01-08,4.4
1900-01-09,0.3
1900-01-10,2.2
1900-01-11,0
1900-01-12,0
1900-01-13,0.4
1900-01-14,0.2
1900-01-15,2.7
1900-01-16,0
1900-01-17,2.4
1900-01-18,1.7
1900-01-19,0.3
1900-01-20,3.4
1900-01-21,0
1900-01-22,2.5
1900-01-23,0
1900-01-24,0
1900-01-25,4.9
1900-01-26,0
1900-01-27,0.1
1900-01-28,0.3
1900-01-29,0
1900-01-30,1
1900-01-31,1.2
1900-02-01,0.4
1900-02-02,0
1900-02-03,0
1900-02-04,3.9
1900-02-05,4.7
1900-02-06,0.1
1900-02-07,2.6
1900-02-08,0.7
1900-02-09,1.1
1900-02-10,0
1900-02-11,0
1900-02-12,5.1
1900-02-13,0.3
1900-02-14,0
1900-02-15,0
1900-02-16,0
1900-02-17,0
1900-02-18,1.3
1900-02-19,1.5
1900-02-20,6.2
1900-02-21,0.8
1900-02-22,0.8
1900-02-23,0.3
1900-02-24,3.3
1900-02-25,10.6
1900-02-26,0
1900-02-27,0.1
1900-02-28,1.7
1900-03-01,2.8
1900-03-02,0
1900-03-03,0
1900-03-04,0
1900-03-05,0
1900-03-06,3.9
1900-03-07,0.3
1900-03-08,0
1900-03-09,0
1900-03-10,0
1900-03-11,0
1900-03-12,3.5
1900-03-13,2
1900-03-14,0
1900-03-15,0
1900-03-16,6.7
1900-03-17,0.2
1900-03-18,0
1900-03-19,0.8
1900-03-20,0
1900-03-21,0
1900-03-22,0
1900-03-23,0
1900-03-24,0
1900-03-25,1.5
1900-03-26,1.6
1900-03-27,0
1900-03-28,0
1900-03-29,0
1900-03-30,0
1900-03-31,0
1900-04-01,0.4
1900-04-02,1.9
1900-04-03,0.2
1900-04-04,0.3
1900-04-05,0
1900-04-06,0.1
1900-04-07,0.2
1900-04-08,0.9
1900-04-09,0
1900-04-10,0.8
1900-04-11,1.4
1900-04-12,0.3
1900-04-13,2.3
1900-04-14,1.7
1900-04-15,7.8
1900-04-16,2.2
1900-04-17,0.1
1900-04-18,0
1900-04-19,0
1900-04-20,0
1900-04-21,0
1900-04-22,0
1900-04-23,0
1900-04-24,2.2
1900-04-25,0
1900-04-26,0
1900-04-27,0
1900-04-28,0
1900-04-29,0.7
1900-04-30,0
1900-05-01,3.4
1900-05-02,0
1900-05-03,0
1900-05-04,3.5
1900-05-05,0
1900-05-06,0
1900-05-07,0
1900-05-08,0
1900-05-09,0.2
1900-05-10,0.1
1900-05-11,0
1900-05-12,0.1
1900-05-13,0
1900-05-14,0
1900-05-15,0
1900-05-16,0
1900-05-17,5.2
1900-05-18,1.1
1900-05-19,2.8
1900-05-20,1.6
1900-05-21,0
1900-05-22,0.3
1900-05-23,0.2
1900-05-24,0.2
1900-05-25,0.1
1900-05-26,0
1900-05-27,0
1900-05-28,0.1
1900-05-29,3.9
1900-05-30,1
1900-05-31,0
1900-06-01,0
1900-06-02,0
1900-06-03,0
1900-06-04,0
1900-06-05,0
1900-06-06,0.1
1900-06-07,0.2
1900-06-08,10
1900-06-09,0
1900-06-10,0
1900-06-11,0
1900-06-12,0.7
1900-06-13,4.3
1900-06-14,1.4
1900-06-15,0.1
1900-06-16,0
1900-06-17,0.9
1900-06-18,0
1900-06-19,0
1900-06-20,0
1900-06-21,0
1900-06-22,0
1900-06-23,1
1900-06-24,0.8
1900-06-25,0
1900-06-26,0
1900-06-27,2.5
1900-06-28,0
1900-06-29,0
1900-06-30,4.3
1900-07-01,0.7
1900-07-02,6.9
1900-07-03,0.9
1900-07-04,4.7
1900-07-05,7
1900-07-06,4.9
1900-07-07,27.2
1900-07-08,0.1
1900-07-09,0.8
1900-07-10,0
1900-07-11,0
1900-07-12,0
1900-07-13,0
1900-07-14,0
1900-07-15,0
1900-07-16,0
1900-07-17,3.9
1900-07-18,0
1900-07-19,0
1900-07-20,0
1900-07-21,0
1900-07-22,0.1
1900-07-23,0.7
1900-07-24,0.2
1900-07-25,0
1900-07-26,0.4
1900-07-27,0
1900-07-28,0
1900-07-29,0
1900-07-30,7.7
1900-07-31,6.2
1900-08-01,0
1900-08-02,9.4
1900-08-03,1.2
1900-08-04,2.8
1900-08-05,0.7
1900-08-06,0
1900-08-07,0
1900-08-08,0
1900-08-09,0.8
1900-08-10,0
1900-08-11,0
1900-08-12,0.2
