date,Precipitation
1991-01-01 00:00,0.0007
1991-01-01 01:00,0
1991-01-01 02:00,0.0001
1991-01-01 03:00,0.0001
1991-01-01 04:00,0.0001
1991-01-01 05:00,0.0002
1991-01-01 06:00,0.0007
1991-01-01 07:00,0.0009
1991-01-01 08:00,0.0012
1991-01-01 09:00,0.0018
1991-01-01 10:00,0.0039
1991-01-01 11:00,0.0083
1991-01-01 12:00,0.0131
1991-01-01 13:00,0.0183
1991-01-01 14:00,0.0314
1991-01-01 15:00,0.0487
1991-01-01 16:00,0.0596
1991-01-01 17:00,0.0651
1991-01-01 18:00,0.0675
1991-01-01 19:00,0.0694
1991-01-01 20:00,0.0699
1991-01-01 21:00,0.0701
1991-01-01 22:00,0.0704
1991-01-01 23:00,0.0708
1991-01-02 00:00,0.0712
1991-01-02 01:00,0.0002
1991-01-02 02:00,0.0004
1991-01-02 03:00,0.0007
1991-01-02 04:00,0.0017
1991-01-02 05:00,0.003
1991-01-02 06:00,0.0036
1991-01-02 07:00,0.0047
1991-01-02 08:00,0.0055
1991-01-02 09:00,0.0063
